iter	Passed	Remaining
0	172	172526
1	179	89436
2	185	61492
3	191	47620
4	197	39292
5	203	33752
6	209	29691
7	215	26758
8	221	24378
9	227	22515
10	233	20972
11	239	19683
12	244	18582
13	251	17699
14	257	16906
15	263	16202
16	269	15588
17	276	15064
18	283	14638
19	289	14188
20	295	13789
21	301	13414
22	307	13074
23	313	12767
24	320	12492
25	326	12221
26	331	11954
27	337	11723
28	343	11500
29	350	11330
30	356	11130
31	362	10966
32	368	10802
33	375	10666
34	381	10529
35	388	10412
36	397	10339
37	404	10240
38	411	10142
39	419	10061
40	427	9993
41	434	9904
42	442	9840
43	449	9758
44	457	9702
45	464	9623
46	470	9540
47	476	9456
48	483	9375
49	489	9291
50	495	9214
51	501	9136
52	507	9073
53	513	8997
54	519	8927
55	525	8859
56	531	8798
57	537	8737
58	543	8675
59	550	8621
60	556	8563
61	562	8505
62	568	8453
63	574	8404
64	581	8360
65	587	8318
66	593	8266
67	597	8182
68	603	8138
69	609	8101
70	615	8054
71	621	8008
72	627	7965
73	633	7921
74	638	7879
75	645	7845
76	651	7807
77	657	7774
78	663	7737
79	669	7697
80	676	7675
81	682	7635
82	687	7600
83	693	7565
84	698	7517
85	705	7495
86	710	7452
87	717	7434
88	724	7415
89	731	7393
90	737	7364
91	743	7341
92	749	7311
93	755	7284
94	761	7257
95	769	7242
96	775	7219
97	781	7195
98	788	7175
99	794	7154
100	802	7139
101	805	7095
102	812	7076
103	819	7060
104	827	7052
105	834	7040
106	843	7035
107	851	7030
108	859	7024
109	866	7011
110	873	6997
111	880	6981
112	886	6957
113	893	6941
114	899	6923
115	905	6897
116	911	6880
117	917	6856
118	922	6831
119	928	6811
120	936	6805
121	943	6793
122	948	6761
123	954	6742
124	960	6726
125	966	6704
126	972	6685
127	977	6657
128	983	6639
129	991	6632
130	997	6618
131	1004	6606
132	1011	6596
133	1019	6586
134	1026	6576
135	1033	6567
136	1040	6553
137	1045	6532
138	1051	6515
139	1057	6494
140	1063	6479
141	1069	6460
142	1075	6447
143	1082	6434
144	1088	6420
145	1094	6404
146	1101	6388
147	1108	6382
148	1114	6367
149	1120	6351
150	1126	6333
151	1133	6321
152	1139	6306
153	1146	6296
154	1152	6281
155	1158	6268
156	1164	6253
157	1170	6240
158	1177	6228
159	1183	6215
160	1190	6203
161	1196	6191
162	1203	6180
163	1210	6168
164	1216	6155
165	1222	6143
166	1228	6128
167	1235	6121
168	1243	6113
169	1249	6099
170	1256	6090
171	1263	6080
172	1270	6072
173	1276	6058
174	1282	6044
175	1289	6035
176	1295	6024
177	1302	6015
178	1309	6004
179	1316	5996
180	1320	5972
181	1325	5957
182	1331	5945
183	1337	5933
184	1343	5919
185	1349	5905
186	1355	5892
187	1361	5878
188	1367	5866
189	1373	5854
190	1379	5843
191	1385	5829
192	1391	5817
193	1397	5808
194	1404	5797
195	1410	5787
196	1416	5773
197	1422	5761
198	1428	5750
199	1435	5740
200	1440	5727
201	1446	5715
202	1452	5703
203	1458	5691
204	1465	5683
205	1471	5670
206	1477	5660
207	1482	5646
208	1488	5634
209	1494	5622
210	1500	5610
211	1507	5602
212	1514	5597
213	1522	5593
214	1529	5585
215	1535	5574
216	1542	5564
217	1547	5552
218	1553	5540
219	1559	5528
220	1565	5519
221	1571	5507
222	1577	5497
223	1583	5486
224	1589	5473
225	1595	5465
226	1601	5452
227	1608	5446
228	1614	5435
229	1619	5423
230	1625	5412
231	1631	5400
232	1639	5395
233	1645	5386
234	1654	5384
235	1660	5376
236	1667	5367
237	1673	5359
238	1682	5357
239	1692	5358
240	1698	5347
241	1704	5340
242	1711	5332
243	1719	5327
244	1725	5317
245	1732	5310
246	1738	5301
247	1745	5291
248	1751	5281
249	1757	5272
250	1764	5266
251	1770	5255
252	1777	5247
